Title,Symptoms,Related Diseases,Departments,Synonyms
18번 염색체 단완결실 증후군(18p monosomy),"눈 사이가 멀어보임, 얼굴형태의 이상, 사시, 눈꺼풀 처짐증, 정신 지체","4번 염색체 단완결실 증후군, 윌리암스 증후군 , 터너 증후군 , 스미스-마제니스 증후군 , 프라더 윌리 증후군 , 묘성 증후군, 18번 염색체 장완결실 증후군 , 엔젤만 증후군, 22번 염색체 장완 미세결실 증후군",의학유전학과,
18번 염색체 장완결실 증후군 (18q monosomy),"정신 지체, 근긴장의 이상, 얼굴형태의 이상, 음낭에 없는 고환,부고환","18번 염색체 장완결실 증후군 , 엔젤만 증후군, 22번 염색체 장완 미세결실 증후군, 묘성 증후군, 프라더 윌리 증후군 , 스미스-마제니스 증후군 , 윌리암스 증후군 , 4번 염색체 단완결실 증후군",의학유전학과,
22번 염색체 장완 미세결실 증후군(CATCH22),"청력장애, 척추 측만, 잦은 상기도 감염, 음낭에 없는 고환,부고환, 얼굴형태의 이상, 눈 사이가 멀어보임, 행동장애, 입술, 입천장의 기형, 잦은 감염","묘성 증후군, 엔젤만 증후군, 18번 염색체 장완결실 증후군 , 4번 염색체 단완결실 증후군, 팔로 사 징후, 18번 염색체 단완결실 증후군, 윌리암스 증후군 , 스미스-마제니스 증후군 , 프라더 윌리 증후군 ","의학유전학센터, 의학유전학과",Di Georges syndrome
4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome),"얼굴모양변화, 귀 모양의 변형, 요도가 아랫쪽에 위치, 사시","22번 염색체 장완 미세결실 증후군, 18번 염색체 장완결실 증후군 , 18번 염색체 단완결실 증후군","의학유전학센터, 의학유전학과",울프-허쉬호른증후군
"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome)","관절 구축, 근긴장의 이상, 색소 침착, 황달","다발성 흑자 증후군, 홀트-오람 증후군 , 연골외배엽 이형성증 , 엘러스-단로스 증후군 , 누난 증후군 , 트리처 콜린스 증후군 , 루빈스타인 테이비 증후군 , 러셀 실버 증후군 , 바르덴부르크 증후군, 대뇌성 거인증 , 코넬리아드랑게 증후군 , 베크위트-위드만 증후군, 판코니범혈구감소증, 골덴하 증후군, 클리펠-트라우네이-베버 증후군, 마르판 증후군 ","의학유전학센터, 의학유전학과","ARC Syndrome(Arthrogryposis,Renal Dysfunction,Cholestasis)"
Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)),"뇌전증 발작 , 운동장애, 정신 지체","척수구근 근위축증 , 척수소뇌성 운동실조증 , 헌팅톤 병, 유약 X 증후군, 프리이드라이히 운동실조증 , 근긴장성 이영양증 ","의학유전학센터, 의학유전학과","DRPLA,무도병아데토시스"
MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군(Myoclonic epilepsy associated with ragged red fibers(MERRF)),,"레버씨 시신경 위축증 , 리 증후군, 미토콘드리아성 뇌근육병증","의학유전학센터, 의학유전학과",
OTC 결핍증 (Ornithine-transcarbamylase deficiency),,"사이트린 결핍, 시트룰닌혈증","의학유전학센터, 의학유전학과","Ornithine-transcarbamylase deficiency,오르니틴 트랜스카비미라제 결핍증,요소회로 대사이상증"
PSA 상승(Elevated PSA),무증상,"전립선암, 양성 전립선 비대증, 만성 전립선염",비뇨의학과,전립선특이항원 상승
RS바이러스 감염증(RS virus infection),"청색증, 코막힘, 열, 콧물, 빈호흡, 기침, 가래","상기도 감염, 폐렴, 급성 기관지염",감염내과,"RSV,RS바이러스,RS바이러스 감염,알에스바이러스,호흡기세포융합바이러스,호흡기세포융합바이러스 감염증"
Rh 부적합 임신(Rh Incompatibility pregnancy),"호흡곤란, 간부전, 간비대, 복수, 빈혈, 비장비대, 폐출혈, 심부전, 황달","용혈빈혈, 뇌성 마비, 유산, 자궁 외 임신, 핵황달, 신생아 황달, 신생아 경련, 신생아 가사, 난산",산부인과,신생아의 Rh형에 의한 용혈성 질환
VDT 증후군(Visual Display Terminal Syndrome),"두통, 어깨의 통증, 어깨 움직임의 제한, 저림, 손의 통증, 눈의 피로, 굽은 등, 피로감, 눈의 충혈","거북목 증후군, 만성 피로 증후군",정형외과,"VDT,VDT syndrome,VDT 신드롬,Visual Display Terminal Syndrome,영상 단말기 증후군"
WPW 증후군(Wolff-Parkinson-White syndrome),"빈맥, 돌연사, 무증상, 자율신경장애","부정맥, 발작성 상심실성 빈맥, 심계항진",,"볼프파킨스화이트증후군,볼프파킨슨화이트증후군,빈맥증후군,심실조기흥분증후군,조기흥분증후군"
XXX 증후군(XXX syndrome),"귀 모양의 변형, 불임","클라인펠터 증후군 , XYY 증후군, 터너 증후군 ","의학유전학센터, 의학유전학과","superfemale syndrome,triple-X syndrome"
XYY 증후군(XYY syndrome),"탈장, 손가락의 변형","클라인펠터 증후군 , XXX 증후군, 터너 증후군 ","의학유전학센터, 의학유전학과",야콥증후군
가부키 증후군(Kabuki Syndrome),,"선천성 심장 질환, 백내장, 사시, 항문 폐쇄증, 구순열, 척추측만증, 자가면역용혈질환, 만성 중이염, 잠복고환증, 요도하열, 급성 중이염, 구개열",의학유전학센터,가부키 신드롬
가성근시(Pseudomyopia),시력 감소,근시,"안과, 소아안과",
가스 괴저(Gas gangrene),"환부 통증, 환부의 분비물, 마찰음 , 열감, 환부 부종","파종혈관내응고, 급성 신부전","감염내과, 응급의학과, 정형외과","Clostridial myonecrosis,가스괴저병"
가습기 살균제 연관 폐질환(Humidifier disinfectant-associated lung injury),"다발성 장기부전 증상, 기침, 호흡곤란, 폐동맥 고혈압, 심부전","폐성 고혈압, 폐렴, 특발성 폐섬유화증, 미만성 간질성 폐질환",호흡기내과,"가습기살균제 폐손상,가습기살균제 폐질환,신종폐질환,원인미상 폐섬유화증,원인미상 폐손상,원인불명 중증 폐질환,원인불명 폐손상,원인불명 폐질환,임산부 폐질환,임산부폐렴,원인불명 신종 폐질환"
가와사키병(Kawasaki Disease),"점막변화, 설사, 발진, 경부 림프절병증, 열, 복부 통증, 기침","심근염, 부정맥, 심낭 삼출 , 심장 판막 질환",어린이병원,"MLNS,가와사키증후군,점막피부림프절증후군,카와사끼병,카와사키병,카와사키증후군,Mucocutaneous lymph node syndrome"
"가족성 적혈구잠식성 림프조직구증(Hemophagocytic lymphohistiocytosis, Familial)",,"혈우병, 윌름즈 종양, 본히펠린다우 증후군 ","의학유전학센터, 의학유전학과",혈구탐식성 림프조직구증
가진통(False labor),"불규칙적 진통, 비정상적인 진통","조기 진통, 조산, 만기 정상 분만",산부인과,
각기병(Beriberi),"근력 약화, 권태감, 무감각, 체중감소, 식욕부진","알코올 의존성, 구루병",신경과,"각기병증,비타민 B1결핍증,비타민B1부족증,티아민결핍증"
각막 궤양(Corneal ulcer),"눈의 충혈, 눈부심, 눈의 통증, 눈물흘림","대상포진, 각막염, 헤르페스 바이러스 감염, 각막 혼탁과 흉터","안과, 소아안과",감염성 각막염
각막 부종(Corneal Edema),"근시, 시야장애","각막염, 각막 혼탁과 흉터",안과,"각막 중심부 부종,각막 후면 부종"
각막 혼탁과 흉터(Corneal opacity and scar),"시력 감소, 환부의 분비물, 눈의 통증, 눈의 피로, 눈부심, 안구혼탁","원추각막, 진균성 각막 궤양, 각막 궤양",안과,"각막반흔,각막혼탁,각막흉터"
각막염(Keratitis),"시력 감소, 눈의 통증, 눈물흘림, 안구혼탁, 눈부심, 눈의 충혈","헤르페스 바이러스 감염, 진균성 각막 궤양, 각막 혼탁과 흉터, 각막 궤양",안과,각막염증
