Symptom,Disease
눈 사이가 멀어보임,"18번 염색체 단완결실 증후군(18p monosomy), 22번 염색체 장완 미세결실 증후군(CATCH22), 누난 증후군 (Noonan syndrome), 바르덴부르크 증후군(Waardenburg syndrome), 양안격리증(Hypertelorism), 에이퍼트 증후군 (Apert syndrome), 파이퍼 증후군 (Pfeiffer syndrome)"
얼굴형태의 이상,"18번 염색체 단완결실 증후군(18p monosomy), 18번 염색체 장완결실 증후군 (18q monosomy), 22번 염색체 장완 미세결실 증후군(CATCH22), 골형성부전증(Osteogenesis imperfecta), 구개열(Cleft palate), 구순열(Cleft lip), 대뇌성 거인증 (Sotos syndrome), 러셀 실버 증후군 (Russell-Silver syndrome), 루빈스타인 테이비 증후군 (Rubinstein-Taybi syndrome), 스미스-마제니스 증후군 (Smith-Magenis syndrome, SMS), 스티클러 증후군(Stickler syndrome), 슬라이 증후군(Sly Syndrome), 윌리암스 증후군 (Williams syndrome), 터너 증후군 (Turner syndrome), 트리처 콜린스 증후군 (Treacher-Collins syndrome), 파이퍼 증후군 (Pfeiffer syndrome), 파타우 증후군(Patau syndrome)"
사시,"18번 염색체 단완결실 증후군(18p monosomy), 4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome), 로하드 증후군(ROHHAD Syndrome), 망막아세포종(Retinoblastoma), 사시(Strabismus), 양안격리증(Hypertelorism), 에이퍼트 증후군 (Apert syndrome)"
눈꺼풀 처짐증,"18번 염색체 단완결실 증후군(18p monosomy), 노화된 얼굴(Aging face), 누난 증후군 (Noonan syndrome), 눈꺼풀 장애(Disorders of eyelid), 안검하수(Ptosis of eyelid), 지주막하 출혈(Subarachnoid hemorrhage)"
정신 지체,"18번 염색체 단완결실 증후군(18p monosomy), 18번 염색체 장완결실 증후군 (18q monosomy), Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)), 거대세포 바이러스 질환(Cytomegaloviral diseases), 결절성 경화증 (Tuberous sclerosis), 광우병(Bovine spongiform encephalopathy), 누난 증후군 (Noonan syndrome), 대뇌성 거인증 (Sotos syndrome), 댄디워커 증후군(Dandy-Walker syndrome), 레트 증후군 (Rett syndrome), 루빈스타인 테이비 증후군 (Rubinstein-Taybi syndrome), 모세혈관 확장성 운동실조 증후군 (Ataxia-telangiectasia syndrome), 묘성 증후군(Cri du Chat syndrome), 부갑상선기능저하증(Hypoparathyroidism), 산필리포 증후군(Sanfilippo Syndrome), 에드워드 증후군 (Edwards syndrome), 에이퍼트 증후군 (Apert syndrome), 엔젤만 증후군(Angelman syndrome), 자폐증 / 자폐 스펙트럼 장애(Autism spectrum disorder), 지적장애(Intellectual disability), 코넬리아드랑게 증후군 (Cornelia de Lange syndrome), 크루존 증후군(Crouzon syndrome), 파이퍼 증후군 (Pfeiffer syndrome), 파타우 증후군(Patau syndrome), 페닐케톤뇨증(Phenylketonuria), 프라더 윌리 증후군 (Prader-Willi syndrome)"
근긴장의 이상,"18번 염색체 장완결실 증후군 (18q monosomy), ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome), 골형성부전증(Osteogenesis imperfecta), 뇌성 마비(Cerebral palsy), 니만-피크병(Niemann-Pick disease), 러셀 실버 증후군 (Russell-Silver syndrome), 선천성 갑상선기능저하증(Congenital hypothyroidism), 스미스-마제니스 증후군 (Smith-Magenis syndrome, SMS), 엔젤만 증후군(Angelman syndrome), 척수구근 근위축증 (Spinobulbar muscular atrophy), 척수근육위축(Spinal muscular atrophy), 태변 흡인 증후군(Meconium aspiration syndrome), 테이-삭스병 (Tay-Sachs disease), 프라더 윌리 증후군 (Prader-Willi syndrome)"
"음낭에 없는 고환,부고환","18번 염색체 장완결실 증후군 (18q monosomy), 22번 염색체 장완 미세결실 증후군(CATCH22), 누난 증후군 (Noonan syndrome), 안드로겐 불감성 증후군 (Androgen insensitivity syndrome(AIS))"
청력장애,"22번 염색체 장완 미세결실 증후군(CATCH22), 감각신경성 난청(Sensorineural hearing loss), 거대세포 바이러스 질환(Cytomegaloviral diseases), 고막염(Myringitis), 골형성부전증(Osteogenesis imperfecta), 구개열(Cleft palate), 급성 중이염(Acute otitis media), 난청(hearing loss), 노인성 난청(Presbycusis), 두개 유합증(Craniosynostosis), 라싸열(Lassa fever ), 만성 중이염(Chronic otitis media), 메니에르병(Meniere's disease), 바르덴부르크 증후군(Waardenburg syndrome), 부신백질이영양증(Adrenoleukodystrophy), 삼출성 중이염(Otitis media with effusion), 소이증(Microtia), 스티클러 증후군(Stickler syndrome), 신경초종(Schwannoma), 외상에 의한 고막 천공(Traumatic rupture of ear drum [Traumatic tympanic membrane perforation]), 외이도염(Otitis externa), 진주종(Cholesteatoma), 청신경초종(Vestibular schwannoma), 파이퍼 증후군 (Pfeiffer syndrome)"
척추 측만,"22번 염색체 장완 미세결실 증후군(CATCH22), 근육병(Myopathy), 스티클러 증후군(Stickler syndrome), 신경섬유종(Neurofibromatosis), 연골무형성증(Achondroplasia)"
잦은 상기도 감염,"22번 염색체 장완 미세결실 증후군(CATCH22), 심방 중격 결손(Atrial septal defect), 재생불량빈혈(Aplastic anemia), 전폐정맥연결 이상(Total anomalous pulmonary venous connection)"
